Designator,Mid X,Mid Y,Layer,Rotation
C1,120.5,25,top,90
C2,136.6,32,top,-90
C3,136.25,24.975,top,-90
C4,124.25,36.5,top,0
C5,122,39.5,top,180
C6,134.725,21,top,0
C7,135.25,18.5,top,180
C8,142.275,18.5,top,0
C9,129.025,21,top,0
C10,61.25,37.75,top,180
C11,60.5,22.75,top,0
C12,155.75,30.75,top,180
C13,130.225,57.5,top,0
C14,152,57.7,top,-90
C17,41.655,69.775,top,-90
C18,35,66.6,top,180
C19,35,74.5,top,180
C20,46.155,74.905,top,0
C21,55,58.275,top,-90
C22,49.5,50.5,top,-90
C23,50.31,69.775,top,90
C24,22.5,71.5,top,90
C25,29,39.775,top,90
C26,44.2,3.75,top,180
C27,30.6,54.915,top,90
C28,29.25,15.025,top,90
C29,125.75,18.35,top,90
C30,132.25,18.325,top,-90
C31,59.4,68,top,-90
C32,69.275,64.5,top,180
C33,135.75,66.25,top,0
C34,148.325,65.75,top,0
C35,154.775,44.75,top,0
C36,162.25,37.25,top,180
D1,154.825,15,top,90
D2,29.182,7,top,0
D3,41.1,61.2,top,180
D4,14.8,11.3,top,180
D5,26.4,50,top,0
FB1,138.75,18.5,top,0
J1,80.98,7,top,90
J2,5,67.5,top,90
J3,22.25,8.125,top,90
J4,14.25,8.125,top,90
J6,9.65,67.5,top,90
J7,119.25,58,top,90
J8,124.5,58,top,90
J9,156.35,58,top,90
J10,161,58,top,90
J11,140.6,68.2,top,0
J12,153.5,69.5,top,0
J13,140.6,73.1,top,0
J14,153.5,74.5,top,0
J15,109.2,30.3,top,-90
L1,49.5,60.5,top,-90
L2,69,67,top,0
Q1,78.5,71.1,top,180
Q2,78.5,60.75,top,180
Q3,78.5,55.325,top,180
Q4,78.5,66,top,180
Q5,78.5625,50.05,top,180
Q6,78.6875,44.875,top,180
Q7,15.45,53.4375,top,90
R1,119.675,27.5,top,0
R2,61.25,39.75,top,180
R3,57.325,42.75,top,180
R4,60.5,20.75,top,0
R5,57,23.25,top,0
R6,155.75,32.75,top,180
R7,130.225,55.5,top,0
R8,155,27.075,top,90
R9,125.675,53.5,top,0
R10,150,57.75,top,-90
R11,155.5,54.75,top,180
R12,57,58.275,top,-90
R13,126.25,39,top,-90
R14,128.25,39,top,-90
R15,130.25,39,top,-90
R16,20.4,11.3,top,180
R17,53.31,68,top,90
R18,50.5,75,top,0
R19,35.75,29.4625,top,90
R20,38.5,29.4625,top,90
R21,33,29.4625,top,90
R22,33,23.9625,top,90
R23,35.75,23.925,top,90
R24,38.5,23.9625,top,90
R25,81.5,71.1,top,-90
R26,75.5,69.925,top,-90
R27,81.5,66,top,-90
R28,75.5,65,top,-90
R29,81.425,60.75,top,-90
R30,75.5,59.675,top,-90
R31,81.5,55.325,top,-90
R32,75.5,54.325,top,-90
R33,18.675,50,top,0
R34,81.5,50.175,top,-90
R35,75.5,49,top,-90
R36,81.625,44.825,top,-90
R37,75.625,43.825,top,-90
R38,42,6.5,top,90
R39,31.25,50.69,top,90
R40,84.88,19.77,top,180
R41,24.825,47.8,top,180
R42,35,35.5,top,0
R43,23.225,50,top,0
R44,66,60.5,top,90
R45,153.825,11,top,0
R46,66,64,top,90
R47,57.25,31.25,top,180
R48,57.25,27,top,180
R49,135.75,63,top,0
R50,148.325,62.75,top,0
R51,136.5,70,top,-90
R52,149.5,69.5,top,-90
R53,154.75,41.75,top,0
R54,157,47.75,top,0
R55,162.25,35.5,top,180
R56,162.25,39.325,top,0
RV1,36.7,40.65,top,0
SW2,47,23.5,top,0
SW3,157.5,25.5,top,0
SW4,161,44,top,0
SW5,49,37,top,90
U1,128.25,28.675,top,90
U2,45.405,69.475,top,-90
U3,49.85,9.94,top,180
U5,38.5,53,top,180
U6,76,18,top,0
U7,22.64,56.4625,top,90
U8,63.725,67.75,top,0
U9,98.3,44.6,top,0
U10,98.3,50.1,top,0
U11,98.3,55.6,top,0
U12,98.3,72.1,top,0
U13,98.3,61.1,top,0
U14,98.3,66.6,top,0
Y1,129,18,top,0
