Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11, C13, C14, C17, C2, C21, C23, C25, C28, C3, C33, C34, C35, C36, C4, C9",0603,18,100n,C14663
"C18, C19",CP_Elec_6.3x5.4,2,22u,C2836438
C20,0805,1,2.2u,C513763
C22,CP_Elec_6.3x7.7,1,470uF-6.3V,C114446
C24,CP_Elec_12.5x16,1,470uF-50V,C249547
"C29, C30",0603,2,10p,C1634
C31,0805,1,4.7uF,C1779
C32,0603,1,10uF,C19702
C5,0603,1,10u,C1691
C6,0603,1,10n,C100042
"C7, C8",0603,2,1u,C15849
"CLKTB6, DIRTB6, EN1, GLCD_SCK32, LCLK_STM32, LDIR_STM32, LEN1, LLTC_STM32, LM1_STM32, LM2_STM32, LM3_STM32, LRST1, LTCTB6, M1TB6, M2TB6, M3TB6, RST1",TestPoint_Pad_D1.0mm,17,~,
D3,D_SMA,1,SS110,C2482
"D4, D5",0603,2,LED,C84266
FB1,0603,1,FerriteBead,C1002
IC1,HZIP25-P-1.00F,1,TB6600HG,C66042
J11,TerminalBlock_Xinya_XY308-2.54-3P_1x03_P2.54mm_Horizontal,1,Volne_IO_Power,
J3,"TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",1,OUT1,
J4,"TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",1,OUT2,
J5,AMASS_XT60-M_1x02_P7.20mm_Vertical,1,POWER,
J8,TerminalBlock_Xinya_XY308-2.54-3P_1x03_P2.54mm_Horizontal,1,Volne_IO,
L1,L_Sunlord_MWSA0603S,1,33uH-2A,C408454
L2,1008,1,470nH-2A,C964119
PROGRAMMING CONN,JST_PH_B5B-PH-K_1x05_P2.00mm_Vertical,1,Conn_01x05_Socket,
"Q1, Q2, Q3, Q4, Q5, Q6, Q8, Q9",SOT-23,8,BSS138,C78284
Q7,SOT-23,1,BC847,C8664
"R1, R17, R19, R25, R26, R27, R28, R29, R30, R31, R32, R34, R35, R36, R37, R38, R39, R46, R47, R48, R6, R8",0805,22,10K,C17414
"R10, R2, R22, R4, R49, R50, R53, R55, R7",0805,9,16.5K,C2930171
"R11, R12, R13, R14, R15, R16, R3, R33, R43, R5, R51, R52, R54, R56, R9",0805,15,470,C17710
R18,0805,1,240K,C25824
R41,0805,1,51K,C17737
R44,0805,1,45.3k,C322483
U1,LQFP-64_10x10mm_P0.5mm,1,STM32F103RBTx,C8735
U2,SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.29x3mm,1,~,C404013
U7,SOIC-14_3.9x8.7mm_P1.27mm,1,74HC14,C5605
U8,Texas_VSON-HR-8_1.5x2mm_P0.5mm,1,TPS62822DLC,C473385
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,16MHz,C112972
