Designator,Mid X,Mid Y,Rotation,Layer
C1,106.5,25.0,90.0,top
C10,161.5,51.0,180.0,top
C11,181.5,23.5,90.0,top
C13,181.5,65.5,90.0,top
C14,191.5,65.5,90.0,top
C17,36.0,69.775,270.0,top
C18,27.5,64.0,0.0,top
C19,27.2,73.5,0.0,top
C2,122.65,33.925,270.0,top
C20,41.2425,74.905,0.0,top
C21,46.5,57.5,90.0,top
C22,33.7,52.0,0.0,top
C23,45.3975,69.775,90.0,top
C24,21.8525,50.02,180.0,top
C25,9.0,43.5,180.0,top
C28,1.5,26.725,270.0,top
C29,109.8,18.35,90.0,top
C3,122.25,24.975,270.0,top
C30,116.3,18.325,270.0,top
C31,54.4875,68.5,270.0,top
C32,58.0,64.5,180.0,top
C33,36.0,29.0,90.0,top
C34,26.5,36.0,90.0,top
C35,198.0,32.0,90.0,top
C36,190.0,32.0,90.0,top
C4,108.5,36.5,0.0,top
C5,106.5,39.5,180.0,top
C6,120.725,21.0,0.0,top
C7,121.25,18.5,180.0,top
C8,128.275,18.5,0.0,top
C9,114.8,21.0,0.0,top
D3,34.75,60.0,270.0,top
D4,-6.2875,22.5,180.0,top
D5,3.0,35.5,90.0,top
FB1,124.75,18.5,0.0,top
IC1,1.80195,30.0,90.0,bottom
J10,134.2,22.3,90.0,bottom
J11,181.46,6.0,180.0,bottom
J3,5.04,7.5,180.0,bottom
J4,21.04,7.0,180.0,bottom
J5,-6.5,56.5,90.0,bottom
J8,171.425,6.0,180.0,bottom
L1,41.0,60.0,270.0,top
L2,64.0875,67.5,0.0,top
Q1,90.0625,38.95,0.0,top
Q2,89.875,50.0,0.0,top
Q3,89.875,33.50625,0.0,top
Q4,89.925,44.45,0.0,top
Q5,89.9375,66.6625,0.0,top
Q6,90.0625,71.9125,0.0,top
Q7,-9.4375,27.05,0.0,top
Q8,90.0,55.5875,0.0,top
Q9,90.0625,61.05,0.0,top
R1,105.675,27.5,0.0,top
R10,189.5875,69.0,0.0,top
R11,194.0,69.0,180.0,top
R12,49.5,57.5,270.0,top
R13,112.25,40.0,270.0,top
R14,115.5,40.0,270.0,top
R15,119.0,40.0,270.0,top
R16,-2.0,22.5,180.0,top
R17,48.3975,68.0,90.0,top
R18,45.5875,75.0,0.0,top
R19,-1.5,27.0,270.0,top
R2,157.5,51.0,0.0,top
R22,-5.0,27.0,270.0,top
R25,95.0625,38.95,270.0,top
R26,85.0625,38.95,270.0,top
R27,95.05,44.4,270.0,top
R28,85.05,44.4,270.0,top
R29,95.0,50.0,270.0,top
R3,157.4125,54.5,0.0,top
R30,85.0,50.0,270.0,top
R31,95.0,33.45625,270.0,top
R32,85.0,33.45625,270.0,top
R33,1.0,31.5,90.0,top
R34,95.0,66.6625,270.0,top
R35,85.0,66.6625,270.0,top
R36,95.0,71.9125,270.0,top
R37,85.0,71.9125,270.0,top
R38,95.0,61.0,270.0,top
R39,85.0,61.0,270.0,top
R4,184.0,23.4125,90.0,top
R41,1.5,40.0,0.0,top
R43,0.5,35.5,270.0,top
R44,54.5,59.5875,90.0,top
R46,54.5,64.0,90.0,top
R47,164.5,28.5,180.0,top
R48,157.4125,28.5,0.0,top
R49,33.5,31.75,0.0,top
R5,181.5,28.0875,270.0,top
R50,24.0,36.0,90.0,top
R51,38.5,31.75,180.0,top
R52,25.0,40.5,270.0,top
R53,201.5,31.9125,90.0,top
R54,204.0,36.0875,90.0,top
R55,187.0,32.0,90.0,top
R56,184.0,36.0,90.0,top
R6,95.0,55.5875,270.0,top
R7,179.5875,69.0,0.0,top
R8,85.0,55.5875,270.0,top
R9,183.9125,69.0,180.0,top
U1,114.25,28.675,0.0,top
U2,40.4925,69.475,180.0,top
U7,-5.025,34.5,90.0,top
U8,58.8125,67.75,0.0,top
Y1,113.05,18.0,0.0,top
